순위,곡정보,앨범,좋아요 수
82,"별들 앞에서
DAY6 (데이식스)",The DECADE,"17,933"
83,"첫 만남은 계획대로 되지 않아
TWS (투어스)",TWS 1st Mini Album ‘Sparkling Blue’,"164,657"
84,"I AM
IVE (아이브)",I've IVE,"233,366"
85,"HANDS UP
MEOVV (미야오)",MY EYES OPEN VVIDE,"34,712"
86,"비의 랩소디
임재현",비의 랩소디,"104,903"
87,"청혼하지 않을 이유를 못 찾았어
이무진",청혼하지 않을 이유를 못 찾았어,"63,324"
88,"사랑인가 봐
멜로망스",사랑인가 봐 (사내맞선 OST 스페셜 트랙),"229,720"
89,"다정히 내 이름을 부르면
경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),"217,439"
90,"고민중독
QWER",1st Mini Album 'MANITO',"151,222"
91,"Magnetic
아일릿(ILLIT)",SUPER REAL ME,"137,862"
92,"Hype Boy
NewJeans",NewJeans 1st EP 'New Jeans',"312,240"
93,"내 이름 맑음
QWER",2nd Mini Album 'Algorithm's Blossom',"102,765"
94,"DRIP
BABYMONSTER",DRIP,"67,052"
95,"My Way
DAY6 (데이식스)",The DECADE,"16,729"
96,"에피소드
이무진",에피소드,"133,400"
97,"How Sweet
NewJeans",How Sweet,"153,831"
98,"HOT
LE SSERAFIM (르세라핌)",HOT,"45,642"
99,"인사
범진",인사,"152,661"
100,"ATTITUDE
IVE (아이브)",IVE EMPATHY,"64,935"
